Category,AMC,Scheme Code,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Scheme Name,Plan,Option,Net Asset Value,Date
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142133,INF109KC1101,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,31.36,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,142135,INF109KC1085,-,ICICI Prudential Long Term Wealth Enhancement Fund,,,29.95,25-Aug-2026
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,112101,INF109KA1XQ0,-,ICICI Prudential R.I.G.H.T (Rewards of Investing & Generation of Healthy Tax-Savings) Fund,,,22.73,26-Sep-2019
Close Ended Schemes(ELSS),ICICI Prudential Mutual Fund,112100,INF109KA1XP2,-,ICICI Prudential R.I.G.H.T (Rewards of Investing & Generation of Healthy Tax-Savings) Fund,,,39.09,26-Sep-2019
Close Ended Schemes(ELSS),Nippon India Mutual Fund,107900,INF204K01ON2,-,Reliance Equity Linked Saving Fund - Series I,,,32.0820,02-Apr-2018
Close Ended Schemes(ELSS),Nippon India Mutual Fund,107901,INF204K01OM4,-,Reliance Equity Linked Saving Fund - Series I,,,32.0820,02-Apr-2018
Close Ended Schemes(ELSS),SBI Mutual Fund,140487,INF200KA1LS9,-,SBI Long Term Advantage Fund - Series IV,Direct Plan,Growth,50.3797,25-Aug-2026
Close Ended Schemes(ELSS),SBI Mutual Fund,140486,INF200KA1LT7,-,SBI Long Term Advantage Fund - Series IV,Direct Plan,IDCW,42.7484,25-Aug-2026
Close Ended Schemes(ELSS),SBI Mutual Fund,140488,INF200KA1LQ3,-,SBI Long Term Advantage Fund - Series IV,Regular Plan,Growth,47.7791,25-Aug-2026
Close Ended Schemes(ELSS),SBI Mutual Fund,140489,INF200KA1LR1,-,SBI Long Term Advantage Fund - Series IV,Regular Plan,IDCW,40.4785,25-Aug-2026
